dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
Wild,bge-base-en-v1.5,768,3,A1_naive_cosine_raw,0.7702015625,0.7627504975532977,1600
Wild,bge-base-en-v1.5,768,3,A1b_cosine_whitened,0.8415085937499999,0.8204401669438102,1600
Wild,bge-base-en-v1.5,768,3,A2_rsfi_svd_raw_k20,0.7753359375,0.774448625410504,1600
Wild,bge-base-en-v1.5,768,3,A3_rsfi_svd_whitened_k20,0.79124921875,0.7868142882579185,1600
Wild,bge-base-en-v1.5,768,3,B1_discriminant_mean_raw,0.8543999999999999,0.8217164742643412,1600
Wild,bge-base-en-v1.5,768,3,B1b_discriminant_mean_whitened,0.8390828124999999,0.8163399623049749,1600
Wild,bge-base-en-v1.5,768,3,B2_contrastive_svd_raw_k20,0.8046992187500001,0.7936479835790979,1600
Wild,bge-base-en-v1.5,768,3,B2b_contrastive_svd_whitened_k20,0.8223765625,0.8066971376787185,1600
Wild,bge-base-en-v1.5,768,3,C1_logreg_raw,0.8667640625,0.8379488930000917,1600
Wild,bge-base-en-v1.5,768,3,C1b_logreg_whitened,0.8285382812500001,0.8112164276052618,1600
Wild,bge-base-en-v1.5,768,4,A1_naive_cosine_raw,0.7726171875000001,0.7572181268961108,1600
